Exchange,Ticker,Publish_Date,Publish_Date_Open,Publish_Date_Close,Next_Day_Open,Next_Day_Close,One_Week_Open,One_Week_Close,One_Month_Open,One_Month_Close,Three_Month_Open,Three_Month_Close,Six_Month_Open,Six_Month_Close
NYSE,BE,9/17/2019,3.76,3.31,3.33,3.34,3.4,3.24,2.95,2.87,6.85,6.68,5.1,5.31
NYSE,BE,9/18/2019,3.33,3.34,3.65,3.55,3.21,3.47,2.87,2.9,6.62,6.62,5.1,5.31
NASDAQ,SDCCQ,10/4/2019,13.31,14.72,15.0,13.49,10.41,11.13,12.62,13.05,8.82,8.32,4.5,4.16
NASDAQ,OPRA,1/16/2020,5.91,5.77,6.13,5.56,5.8,6.33,5.41,5.33,4.04,3.96,8.0,7.52
OTCMKTS,NEXCF,2/10/2020,1.4,1.29,1.06,1.41,1.13,1.34,0.95,0.9,1.39,1.57,4.28,3.85
TSXV,PCLO,3/2/2020,1.6,1.3,1.21,1.23,1.05,0.97,0.81,0.83,0.9,0.84,0.65,0.61
NASDAQ,HFFG,3/23/2020,11.13,9.8,10.17,9.66,8.02,8.3,6.37,6.58,8.1,8.31,6.94,6.58
OTCMKTS,PREDQ,3/27/2020,0.97,0.83,0.87,0.86,0.94,1.38,0.82,0.82,0.42,0.44,0.17,0.16
NASDAQ,WORX,4/17/2020,116.55,100.8,87.15,92.25,86.32,86.32,86.32,86.32,86.32,86.32,22.05,21.9
TSXV,NUAG,4/20/2020,None,None,None,None,None,None,None,None,None,None,None,None
HKG,1636,5/17/2020,None,None,None,None,None,None,None,None,None,None,None,None
OTCMKTS,SRNE,5/20/2020,5.03,5.7,5.5,5.03,5.28,5.17,4.82,4.8,12.31,12.28,6.4,6.57
HKG,1636,5/21/2020,28.0,28.0,28.3,27.9,27.9,27.6,3.75,3.25,3.0,3.15,1.93,1.82
NASDAQ,GNUS,6/5/2020,None,None,None,None,None,None,None,None,None,None,None,None
NASDAQ,WINS,6/17/2020,None,None,None,None,None,None,None,None,None,None,None,None
NASDAQ,IDEX,6/26/2020,None,None,None,None,None,None,None,None,None,None,None,None
NASDAQ,JCOM,6/30/2020,None,None,None,None,None,None,None,None,None,None,None,None
TSXV,FD,7/23/2020,None,None,None,None,None,None,None,None,None,None,None,None
NASDAQ,GRWG,8/21/2020,16.82,17.34,14.67,14.34,16.1,16.34,15.4,16.65,29.0,29.46,60.13,59.35
NASDAQ,NKLA,9/10/2020,None,None,None,None,None,None,None,None,None,None,None,None
NASDAQ,NKLA,9/15/2020,None,None,None,None,None,None,None,None,None,None,None,None
NASDAQ,LOOP,10/13/2020,7.75,7.83,7.53,7.55,6.95,6.78,6.83,6.77,9.26,9.17,8.38,8.32
NASDAQ,KNDI,11/30/2020,13.11,9.76,8.93,8.57,8.1,8.49,7.15,7.37,7.23,7.42,5.55,5.56
NASDAQ,LOOP,12/15/2020,9.33,7.24,7.3,7.27,8.13,8.44,9.23,8.68,8.67,8.79,11.64,10.63
NASDAQ,CLOV,2/4/2021,12.24,12.23,12.53,12.93,12.38,12.01,7.91,7.35,9.08,8.84,8.3,8.12
NASDAQ,CLOV,2/5/2021,12.53,12.93,13.04,12.37,11.93,12.08,7.91,7.35,8.71,8.23,8.15,7.92
NYSE,ORA,3/1/2021,80.71,82.19,83.41,80.56,77.62,76.88,75.95,76.34,67.81,67.54,68.77,68.58
NASDAQ,RIDE,3/12/2021,210.0,221.7,229.8,243.3,194.7,199.5,174.45,160.88,161.55,159.0,95.4,92.55
NASDAQ,EBON,4/6/2021,156.9,165.9,170.1,162.3,147.6,152.1,111.63,99.3,87.99,86.4,58.5,57.3
NASDAQ,PCT,5/6/2021,19.21,14.83,14.42,15.18,12.86,10.82,20.57,20.93,14.62,14.49,13.74,13.19
OTCMKTS,HMBL,5/20/2021,0.8,0.77,0.78,0.83,1.24,1.37,1.31,1.24,0.77,0.75,0.58,0.5
NASDAQ,DKNG,6/15/2021,44.95,48.51,48.86,48.81,48.94,50.16,44.4,44.83,62.9,60.46,30.11,28.85
NASDAQ,TGLS,12/9/2021,20.18,20.82,20.11,18.03,22.95,23.56,22.2,22.42,20.99,22.84,21.25,21.11
NYSE,SLI,2/3/2022,5.96,5.29,5.67,6.27,6.71,6.62,5.59,4.97,6.25,6.71,5.41,5.74
NASDAQ,NTRA,3/9/2022,45.45,36.8,42.16,42.61,31.43,35.02,41.91,42.86,35.07,37.15,47.97,47.74
NYSE,JNJ,3/24/2022,157.65,157.86,158.27,159.38,161.78,159.66,164.26,167.57,155.94,159.33,150.8,150.57
NASDAQ,MULN,4/6/2022,3564000000000.0,3577500000000.0,3402000000000.0,3213000000000.0,None,None,None,None,None,None,None,None
NASDAQ,SGLY,5/5/2022,46.7,48.0,45.1,42.4,43.0,45.3,44.0,36.9,34.2,37.4,26.6,25.1
NASDAQ,TWTR,5/9/2022,49.3,47.96,47.91,47.26,39.17,37.39,39.96,40.44,42.94,42.94,None,None
NASDAQ,ENOB,6/1/2022,4.15,3.77,3.6,3.72,3.44,3.53,1.82,1.93,2.47,2.49,1.74,1.69
NASDAQ,EBIX,6/16/2022,13.75,14.59,14.93,16.63,16.67,16.41,19.25,19.17,22.83,22.88,22.14,20.84
NASDAQ,ESTA,10/19/2022,45.0,51.13,51.13,51.1,55.9,55.75,60.82,61.05,68.77,69.89,73.99,74.65
NYSE,WELL,12/7/2022,60.58,60.78,60.97,61.44,61.91,62.98,63.33,65.25,70.75,69.74,72.06,72.29
NYSE,SQ,3/23/2023,60.0,61.88,59.75,60.68,68.99,68.49,63.7,64.5,66.71,65.46,49.94,49.8
NYSE,SQ,3/21/2023,75.84,77.46,77.15,72.65,64.0,63.76,61.72,62.36,65.89,66.8,52.81,51.25
NASDAQ,IEP,5/2/2023,28.41,23.89,23.31,19.28,21.74,22.48,14.1,13.7,21.23,21.78,11.18,11.02
NASDAQ,IEP,5/11/2023,17.97,18.73,19.74,20.95,20.52,20.54,18.07,18.43,14.7,14.92,13.06,13.16
NASDAQ,TIO,6/6/2023,1.35,1.32,1.06,1.45,0.94,1.3,1.28,1.35,1.05,1.12,None,None
NASDAQ,FRHC,8/15/2023,70.7,73.27,72.13,69.87,89.9,90.7,91.0,89.0,79.87,78.77,83.29,82.53
NASDAQ,TIO,8/31/2023,1.71,1.29,1.09,1.22,1.05,1.09,1.03,0.99,None,None,None,None
NASDAQ,EH,11/7/2023,12.75,13.06,13.11,13.99,13.61,14.13,17.0,16.13,10.2,9.53,18.09,18.7
NASDAQ,LFST,2/1/2024,4.75,5.64,5.46,6.01,6.06,6.47,7.74,7.76,6.17,6.45,5.54,5.59
NASDAQ,RENB,2/13/2024,33.0,19.2,19.8,21.9,23.2,20.2,29.5,31.3,12.0,11.6,6.2,7.1
SWX,TEMN,2/15/2024,None,None,None,None,None,None,None,None,None,None,None,None
